filename,qmos,sd,votes,c1,c2,c3,c4,c5,artifacts,blur,contrast,colors,other,degraded.amount
8977825134.jpg,3.16666666666667,0.977139836403678,60,2,13,23,17,5,0.233333333333333,0.15,0.183333333333333,0.05,0.0,0.123333333333333
276009784.jpg,4.13461538461539,0.657650188731871,52,0,0,8,29,15,0.0769230769230769,0.0384615384615385,0.0384615384615385,0.0384615384615385,0.0,0.0384615384615385
11527524903.jpg,2.57377049180328,0.845754424433055,61,7,19,28,7,0,0.147540983606557,0.540983606557377,0.180327868852459,0.0983606557377049,0.0,0.19344262295082
2569803000.jpg,3.54385964912281,0.964923672751161,57,2,5,18,24,8,0.0701754385964912,0.298245614035088,0.0701754385964912,0.0,0.0,0.087719298245614
16799807.jpg,2.83606557377049,0.799590058902111,61,3,15,33,9,1,0.229508196721311,0.590163934426229,0.0819672131147541,0.0491803278688525,0.0,0.19016393442623
6923520196.jpg,2.64285714285714,1.03447081647085,56,7,20,17,10,2,0.285714285714286,0.553571428571429,0.178571428571429,0.142857142857143,0.0,0.232142857142857
9618367899.jpg,4.05882352941176,0.759256602365297,51,0,1,10,25,15,0.0196078431372549,0.0,0.196078431372549,0.0980392156862745,0.0,0.0627450980392157
9064913927.jpg,3.29508196721311,0.863023025862809,61,1,8,29,18,5,0.0983606557377049,0.245901639344262,0.147540983606557,0.0819672131147541,0.0,0.114754098360656
5830956184.jpg,4.0,0.800942840633627,54,0,1,14,23,16,0.0,0.0925925925925926,0.0555555555555556,0.111111111111111,0.0,0.0518518518518519
2952066894.jpg,4.11864406779661,0.93004904881246,59,1,2,10,22,24,0.0338983050847458,0.101694915254237,0.135593220338983,0.0169491525423729,0.0,0.0576271186440678
3138088232.jpg,3.84,0.79179465488863,50,0,2,14,24,10,0.0,0.12,0.06,0.08,0.0,0.052
9932883805.jpg,4.07575757575758,0.686364022291066,66,0,1,10,38,17,0.0,0.0454545454545455,0.0606060606060606,0.0,0.0,0.0212121212121212
4875935356.jpg,3.9344262295082,0.946376465948169,61,1,4,11,27,18,0.114754098360656,0.0655737704918033,0.0327868852459016,0.0819672131147541,0.0,0.059016393442623
202351926.jpg,4.11538461538461,0.983268781274612,52,0,5,7,17,23,0.0192307692307692,0.288461538461538,0.0192307692307692,0.0192307692307692,0.0,0.0692307692307692
7196174704.jpg,3.23728813559322,0.625299460695805,59,0,6,33,20,0,0.271186440677966,0.389830508474576,0.0677966101694915,0.0508474576271186,0.0,0.155932203389831
9048453025.jpg,4.27450980392157,0.602608707953976,51,0,0,4,29,18,0.0,0.0196078431372549,0.0,0.0,0.0,0.0039215686274509
6128176020.jpg,2.59375,0.830351809165324,64,4,28,22,10,0,0.25,0.5625,0.125,0.109375,0.0,0.209375
7868631444.jpg,3.13333333333333,0.812334294271587,60,1,11,29,17,2,0.183333333333333,0.316666666666667,0.0666666666666667,0.116666666666667,0.0,0.136666666666667
348162485.jpg,1.98214285714286,0.841882553427872,56,18,23,13,2,0,0.107142857142857,0.767857142857143,0.0357142857142857,0.0178571428571429,0.0,0.185714285714286
9342669344.jpg,4.15254237288136,0.761431485858276,59,0,1,10,27,21,0.0508474576271186,0.0847457627118644,0.11864406779661,0.0508474576271186,0.0,0.0610169491525424
4996581735.jpg,4.29310344827586,0.701092397986326,58,0,1,5,28,24,0.0,0.0344827586206897,0.0344827586206897,0.0,0.0,0.0137931034482759
264173063.jpg,2.515625,0.991906733646853,64,11,20,23,9,1,0.09375,0.6875,0.0625,0.03125,0.0,0.175
7807631220.jpg,4.67241379310345,0.509142072836972,58,0,0,1,17,40,0.0172413793103448,0.0,0.0172413793103448,0.0,0.0,0.0068965517241379
7443887988.jpg,1.83928571428571,0.889878147210682,56,24,20,9,3,0,0.125,0.839285714285714,0.0535714285714286,0.0357142857142857,0.0,0.210714285714286
5204782737.jpg,3.17857142857143,0.788719165532271,56,0,13,20,23,0,0.196428571428571,0.410714285714286,0.0714285714285714,0.107142857142857,0.0,0.157142857142857
6265723593.jpg,4.01923076923077,0.779401092729806,52,0,2,9,27,14,0.0576923076923077,0.0576923076923077,0.0961538461538462,0.0384615384615385,0.0,0.05
9498977620.jpg,3.6,0.717812118376484,60,0,4,20,32,4,0.0666666666666667,0.366666666666667,0.0833333333333333,0.0333333333333333,0.0,0.11
5358352176.jpg,2.52631578947368,0.908398574374053,57,9,16,25,7,0,0.105263157894737,0.736842105263158,0.0526315789473684,0.0526315789473684,0.0,0.189473684210526
6875194504.jpg,3.42857142857143,0.911684611677104,56,0,8,24,16,8,0.214285714285714,0.428571428571429,0.0178571428571429,0.0,0.0,0.132142857142857
6553742481.jpg,1.33333333333333,0.567961834247065,63,45,15,3,0,0,0.317460317460317,0.841269841269841,0.158730158730159,0.0634920634920635,0.0,0.276190476190476
4846003639.jpg,3.12727272727273,0.771111402206448,55,0,12,25,17,1,0.236363636363636,0.4,0.109090909090909,0.0363636363636364,0.0,0.156363636363636
9277184417.jpg,3.6140350877193,0.921070533302578,57,0,7,18,22,10,0.105263157894737,0.263157894736842,0.0526315789473684,0.0175438596491228,0.0,0.087719298245614
8376951271.jpg,4.18333333333333,0.700887250456953,60,0,1,7,32,20,0.0333333333333333,0.05,0.0333333333333333,0.1,0.0,0.0433333333333333
7980394491.jpg,3.72131147540984,0.686322264950016,61,0,1,22,31,7,0.0655737704918033,0.114754098360656,0.262295081967213,0.19672131147541,0.0,0.127868852459016
4806036650.jpg,1.76,1.06061206818689,50,29,9,8,3,1,0.32,0.24,0.54,0.68,0.02,0.36
6251598886.jpg,3.28070175438596,1.11410415589183,57,3,11,19,15,9,0.087719298245614,0.087719298245614,0.157894736842105,0.245614035087719,0.0,0.115789473684211
5592815589.jpg,4.015625,0.678284191504154,64,0,1,11,38,14,0.15625,0.125,0.0625,0.078125,0.0,0.084375
4906359700.jpg,4.46551724137931,0.680956943827319,58,0,0,6,19,33,0.0172413793103448,0.0172413793103448,0.0517241379310345,0.0344827586206897,0.0,0.0241379310344828
11302087114.jpg,3.72881355932203,0.925323959571891,59,1,5,14,28,11,0.0169491525423729,0.23728813559322,0.0677966101694915,0.0338983050847458,0.0,0.0711864406779661
9642249347.jpg,3.3,1.09389678191844,60,4,9,20,19,8,0.1,0.416666666666667,0.0833333333333333,0.166666666666667,0.0,0.153333333333333
8262966434.jpg,3.87719298245614,0.780800309174515,57,0,2,15,28,12,0.0175438596491228,0.12280701754386,0.105263157894737,0.0175438596491228,0.0,0.0526315789473684
62503983.jpg,3.01754385964912,0.855470381681819,57,0,19,19,18,1,0.12280701754386,0.140350877192982,0.263157894736842,0.210526315789474,0.0,0.147368421052632
1429120335.jpg,3.76271186440678,0.877672923345622,59,1,3,16,28,11,0.0338983050847458,0.101694915254237,0.23728813559322,0.135593220338983,0.0,0.101694915254237
8553449461.jpg,4.0,0.807572853087248,47,0,3,6,26,12,0.0212765957446809,0.127659574468085,0.106382978723404,0.0425531914893617,0.0,0.0595744680851064
4770169005.jpg,4.17741935483871,0.690074682306366,62,0,0,10,31,21,0.0,0.0483870967741935,0.032258064516129,0.0161290322580645,0.0,0.0193548387096774
7268981578.jpg,2.28070175438596,0.72590795276655,57,6,32,16,3,0,0.105263157894737,0.859649122807018,0.0526315789473684,0.0526315789473684,0.0,0.214035087719298
71775760.jpg,3.1864406779661,0.730483455197155,59,0,10,29,19,1,0.203389830508475,0.440677966101695,0.11864406779661,0.186440677966102,0.0169491525423729,0.193220338983051
5992863973.jpg,4.50819672131148,0.648664032702912,61,0,1,2,23,35,0.0327868852459016,0.0983606557377049,0.0491803278688525,0.0163934426229508,0.0,0.039344262295082
8236704145.jpg,4.31147540983607,0.827465681192829,61,0,3,5,23,30,0.0,0.0163934426229508,0.0655737704918033,0.0327868852459016,0.0,0.0229508196721312
4674618399.jpg,3.21875,0.899183933370557,64,2,11,25,23,3,0.03125,0.40625,0.03125,0.03125,0.0,0.1
5844813103.jpg,3.01639344262295,0.826474506134108,61,3,10,32,15,1,0.0983606557377049,0.295081967213115,0.245901639344262,0.262295081967213,0.0,0.180327868852459
6895365088.jpg,4.04081632653061,0.789493077694726,49,0,3,5,28,13,0.0,0.224489795918367,0.0,0.0204081632653061,0.0,0.0489795918367347
8454542185.jpg,4.16071428571429,0.848030567937173,56,0,2,10,21,23,0.0,0.285714285714286,0.0357142857142857,0.0178571428571429,0.0,0.0678571428571429
5650628470.jpg,3.32203389830508,1.02453821332112,59,2,11,19,20,7,0.169491525423729,0.101694915254237,0.186440677966102,0.135593220338983,0.0,0.11864406779661
6955151884.jpg,2.5,0.863655972794875,62,6,27,22,6,1,0.225806451612903,0.596774193548387,0.225806451612903,0.129032258064516,0.0,0.235483870967742
8518610606.jpg,3.23529411764706,0.929262832445539,51,1,9,23,13,5,0.333333333333333,0.274509803921569,0.0588235294117647,0.0588235294117647,0.0,0.145098039215686
3157055534.jpg,2.87037037037037,0.847778368516435,54,3,13,27,10,1,0.166666666666667,0.62962962962963,0.222222222222222,0.148148148148148,0.0,0.233333333333333
3817779484.jpg,2.69565217391304,0.939729635288583,46,5,13,20,7,1,0.130434782608696,0.565217391304348,0.108695652173913,0.130434782608696,0.0,0.18695652173913
372117089.jpg,4.19298245614035,0.610579247554205,57,0,0,6,34,17,0.0175438596491228,0.0526315789473684,0.087719298245614,0.0526315789473684,0.0,0.0421052631578947
10265809113.jpg,3.92727272727273,0.766293277541561,55,0,2,12,29,12,0.0363636363636364,0.0909090909090909,0.109090909090909,0.0545454545454545,0.0,0.0581818181818182
6531551463.jpg,2.71428571428571,0.816496580927726,49,4,13,25,7,0,0.102040816326531,0.26530612244898,0.0816326530612245,0.0408163265306122,0.0,0.0979591836734694
2459857216.jpg,4.34920634920635,0.721976010653427,63,0,1,6,26,30,0.0158730158730159,0.0476190476190476,0.0158730158730159,0.0158730158730159,0.0,0.019047619047619
5066476555.jpg,4.43137254901961,0.608437407159827,51,0,0,3,23,25,0.0,0.0588235294117647,0.0196078431372549,0.0196078431372549,0.0,0.0196078431372549
910637798.jpg,3.36923076923077,0.839814539966094,65,1,9,23,29,3,0.138461538461538,0.0615384615384615,0.230769230769231,0.153846153846154,0.0,0.116923076923077
6899120807.jpg,4.24242424242424,0.745460230804404,66,0,2,6,32,26,0.0151515151515152,0.0,0.0151515151515152,0.0151515151515152,0.0,0.009090909090909
8274584258.jpg,4.45901639344262,0.672650738789041,61,0,0,6,21,34,0.0163934426229508,0.0327868852459016,0.0491803278688525,0.0163934426229508,0.0,0.0229508196721312
7999886083.jpg,4.11320754716981,0.824163383692134,53,1,0,9,25,18,0.0377358490566038,0.245283018867925,0.0754716981132075,0.0,0.0,0.0716981132075472
