filename,actual_qmos,predicted_qmos,quality_error,absolute_quality_error,actual_artifacts,predicted_artifacts,actual_blur,predicted_blur,actual_contrast,predicted_contrast,actual_colors,predicted_colors,actual_other,predicted_other,error,absolute_error
9522074895.jpg,4.5423727,4.5422797,-9.2983246e-05,9.2983246e-05,0.0,0.010379656,0.0,0.014274055,0.06779661,0.014048791,0.050847456,0.009792209,0.0,0.0049756267,-9.299999999967667e-05,9.299999999967667e-05
7641363622.jpg,4.070175,4.0698566,-0.00031852722,0.00031852722,0.12280702,0.03879797,0.07017544,0.06918128,0.1754386,0.07843419,0.15789473,0.043300804,0.0,0.008798837,-0.000318400000000274,0.000318400000000274
6916511144.jpg,4.0819674,4.082925,0.000957489,0.000957489,0.016393442,0.047161482,0.032786883,0.07031515,0.09836066,0.08378498,0.04918033,0.06786551,0.0,0.02183625,0.000957600000000447,0.000957600000000447
3841305755.jpg,3.515625,3.5167317,0.001106739,0.001106739,0.0,0.09355918,0.1875,0.20746666,0.03125,0.06449726,0.0,0.040639155,0.0,0.008737302,0.001106699999999794,0.001106699999999794
375084308.jpg,3.5961537,3.594883,-0.001270771,0.001270771,0.115384616,0.1334057,0.09615385,0.139068,0.13461539,0.09802041,0.01923077,0.06855619,0.0,0.02195712,-0.001270700000000069,0.001270700000000069
8506145736.jpg,2.531915,2.5332,0.0012850761,0.0012850761,0.21276596,0.30679223,0.7234042,0.5110152,0.08510638,0.12756793,0.021276595,0.10947003,0.0,0.02006549,0.0012849999999997586,0.0012849999999997586
9472829997.jpg,2.9180326,2.9164677,-0.0015649796,0.0015649796,0.08196721,0.12988187,0.32786885,0.21674113,0.16393442,0.22485626,0.40983605,0.23903091,0.0,0.022050863,-0.0015648999999999802,0.0015648999999999802
5562631980.jpg,4.0535717,4.0517173,-0.0018544197,0.0018544197,0.017857144,0.028261816,0.0,0.047979005,0.017857144,0.02666312,0.0,0.016271712,0.0,0.008358094,-0.0018544000000000338,0.0018544000000000338
7859713146.jpg,4.403226,4.40103,-0.002195835,0.002195835,0.016129032,0.014237247,0.016129032,0.02005156,0.048387095,0.042030074,0.032258064,0.017952856,0.0,0.0037703358,-0.0021959999999996427,0.0021959999999996427
7329465526.jpg,4.4814816,4.4836864,0.002204895,0.002204895,0.055555556,0.0071740695,0.0,0.009990689,0.037037037,0.013639972,0.037037037,0.005643104,0.0,0.0016163137,0.0022047999999994516,0.0022047999999994516
7024488001.jpg,4.403509,4.4060287,0.0025196075,0.0025196075,0.01754386,0.013526994,0.05263158,0.019723684,0.0877193,0.04136076,0.03508772,0.016423732,0.0,0.0032679262,0.0025197000000005687,0.0025197000000005687
3026154930.jpg,3.559322,3.556733,-0.0025892258,0.0025892258,0.06779661,0.08589927,0.3898305,0.13012262,0.15254237,0.14060599,0.0,0.11188837,0.0,0.016300254,-0.0025889999999999525,0.0025889999999999525
5257060848.jpg,3.181818,3.178778,-0.0030400753,0.0030400753,0.07272727,0.09254923,0.3090909,0.19782689,0.16363636,0.22190826,0.16363636,0.30221215,0.0,0.020846063,-0.0030399999999999316,0.0030399999999999316
8357037213.jpg,4.148148,4.15132,0.0031719208,0.0031719208,0.09259259,0.031678077,0.22222222,0.09594414,0.0,0.045773275,0.018518519,0.024289979,0.0,0.006663851,0.0031720000000001747,0.0031720000000001747
2848340403.jpg,3.2931037,3.2897415,-0.0033621788,0.0033621788,0.13793103,0.10904794,0.37931034,0.36853185,0.15517241,0.08187936,0.0,0.05490378,0.0,0.010043035,-0.003362200000000204,0.003362200000000204
7138669275.jpg,3.34,3.34341,0.003410101,0.003410101,0.12,0.08372994,0.44,0.33929688,0.12,0.105202235,0.08,0.064641334,0.0,0.011670147,0.003410000000000135,0.003410000000000135
5698690184.jpg,3.943396,3.9398751,-0.0035209656,0.0035209656,0.018867925,0.051981807,0.094339624,0.27790385,0.056603774,0.048660997,0.056603774,0.032167688,0.0,0.0073101167,-0.003520899999999827,0.003520899999999827
10799853136.jpg,3.85,3.8447998,-0.0052001476,0.0052001476,0.033333335,0.035079587,0.06666667,0.12795311,0.016666668,0.07330366,0.016666668,0.040919177,0.0,0.0090941815,-0.005200199999999988,0.005200199999999988
4966811903.jpg,3.7037036,3.7094402,0.0057365894,0.0057365894,0.055555556,0.07084421,0.16666667,0.24359944,0.055555556,0.06925847,0.018518519,0.045890626,0.0,0.0081772525,0.005736600000000092,0.005736600000000092
372866056.jpg,2.8,2.7942302,-0.0057697296,0.0057697296,0.18333334,0.12457875,0.51666665,0.61532325,0.06666667,0.09647577,0.083333336,0.071368285,0.0,0.012756791,-0.005769799999999936,0.005769799999999936
